person_id,video_id,repetition_number,knee_flex_peak_deg,knee_flex_min_deg,knee_rom_deg,hip_flex_peak_deg,trunk_lean_peak_deg,trunk_lean_mean_deg,knee_ang_vel_max_dps,rep_duration_s,descent_ascent_ratio,symmetry_index_pct,ankle_df_proxy_deg,hip_mid_jitter_norm,stance_width_norm,correctness,label,orientation,lights_on,mocap_erroneous,feature_schema_version
1,PM_008,1,87.42863180976568,10.340119157071584,77.08851265269409,94.64874527181303,31.776844073913512,14.76519213540553,159.89733551497037,4.0,1.1052631578947365,46.48161402710876,28.769472714192254,9.867773153661657e-06,0.80299259152243,1,Good,front,0,0,1.0.0
1,PM_008,2,92.60370156412053,10.799382892018372,81.80431867210216,96.76983736652718,31.599601910276103,15.115818063255702,136.46208768058597,4.0,1.3529411764705892,48.061599161686004,29.10208256371483,8.692687138991766e-06,0.8419198182065113,1,Good,front,0,0,1.0.0
1,PM_008,3,93.90805899415591,10.312749745049118,83.59530924910679,96.39029246431217,30.572363914463605,15.726477357291389,166.39284855557597,3.667,1.0752688172043017,48.74570886757538,29.843083443012127,7.345261708608369e-06,0.8490916849432084,1,Good,front,0,0,1.0.0
1,PM_008,4,92.05710464877842,10.469181516221198,81.58792313255722,91.09895634133798,27.201949836214503,13.587276208344116,153.49095873535524,3.5,0.9807583474816038,51.607399433424675,32.22919590942979,9.326345727995686e-06,0.8312764957620407,1,Good,front,0,0,1.0.0
1,PM_008,5,97.95281774296981,10.48713260996405,87.46568513300576,95.2963144075089,29.052074506514504,15.474232417601309,142.92501297345206,3.165999999999997,1.209351011863222,41.796953822472126,33.48103621129842,1.137625189266728e-05,0.8442438510351647,1,Good,front,0,0,1.0.0
1,PM_008,6,68.67881559202183,9.251979141530825,59.42683645049101,67.95227558811955,22.3010086950246,12.246613402570219,112.06264467586878,4.665999999999997,1.1875293014533552,51.15770997465262,25.17671868678383,8.508178405449018e-06,0.7619652854702881,1,Good,front,0,0,1.0.0
1,PM_008,7,70.83613147825804,10.77714518980929,60.05898628844875,65.99220482016018,19.445290032296995,11.988373694917284,93.29833300468084,4.067,0.8486363636363673,36.09539403781908,27.255332745581597,9.081863056946576e-06,0.8157209055063286,1,Good,front,0,0,1.0.0
1,PM_008,8,72.82767091862456,11.863998675618546,60.963672243006016,71.13877729358768,21.562196518346866,12.43603987948515,98.92168230623496,4.899999999999999,1.333333333333331,37.2484770687796,26.782472762428064,5.2210092141179225e-06,0.8259512055955607,1,Good,front,0,0,1.0.0
1,PM_008,9,73.37379943190962,11.000502735800396,62.37329669610922,67.14100123699306,19.91142477433516,11.906299758946695,108.5217713288479,4.0,1.182214948172397,42.4059695825138,28.73957645462616,6.943517533068018e-06,0.793817713699514,1,Good,front,0,0,1.0.0
1,PM_008,10,70.4710002192171,10.406222517421682,60.06477770179542,66.62129467801552,20.686825130977905,12.743277151671835,97.08284627541774,4.667000000000002,1.4563157894736778,43.3015205130713,27.51943229825879,8.220488044941946e-06,0.8218562218016442,1,Good,front,0,0,1.0.0
1,PM_008,11,71.42553020471414,10.727725875166158,60.69780432954798,66.21794683141886,20.292944967825655,11.452094046683857,90.6391919795232,4.332999999999998,1.2028469750889685,42.52894241198608,27.866878344549512,6.892076090898704e-06,0.8335162408085016,1,Good,front,0,0,1.0.0
1,PM_008,12,75.29381333696017,10.204453826907695,65.08935951005247,69.23581823916223,20.802185110936534,12.43018620953143,108.52019998625258,3.5330000000000013,1.5863836017569561,29.848987437558225,29.412621113379103,6.572979925775805e-06,0.8241861704796896,1,Good,front,0,0,1.0.0
1,PM_008,13,105.97481856044011,8.575678697047138,97.39913986339297,109.83553162304113,41.18598359708038,19.540082127371207,178.79392881542228,3.1670000000000016,0.979375000000008,43.98086071073437,39.150619266403474,1.824927872039343e-05,0.8682258161996628,1,Good,front,0,0,1.0.0
1,PM_008,14,124.62745631226034,9.420617589028339,115.206838723232,105.26840888551851,25.00230056372085,13.156709021661571,181.5244448850077,3.0,0.8750000000000067,48.566418771711874,44.35883757970856,1.1736546614968508e-05,0.7065255043854515,1,Good,front,0,0,1.0.0
